evidence_domain,method_family,branch,metric_family,metric,value,unit,comparison,source_file,decision,uncertainty_use,limitation
registered_spatial_accuracy,TIGERBx,tigerbx_2024_3di,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.775;25.08;17.76,dice;mm;percent,kate_2024_3di vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,exclude_from_visualization,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
registered_spatial_accuracy,TIGERBx,tigerbx_2024_t1ffe_401,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.806;2.45;6.47,dice;mm;percent,kate_2024_t1_ffe_401 vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,candidate_or_comparator,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
registered_spatial_accuracy,TIGERBx,tigerbx_2024_t1ffe_601,registered_source_vs_ffe_consensus,median_dice_p90_hd95_median_volume_error,0.789;2.83;7.29,dice;mm;percent,kate_2024_t1_ffe_601 vs trusted registered hard-vote pseudo-GT,data/kate_n1_2026/pseudo_gt_spatial_registered_source_summary.csv,candidate_or_comparator,source_consensus_disagreement,Affine registered pseudo-GT from algorithmic sources; not manual ground truth.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_tissue_fast_kate_2024_3di,runtime_and_label_stats,status_elapsed_labels,done;31.912;1;2,status;seconds;labels,kate_2024_3di,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,quick_tissue_qc_candidate,tissue_level_contrast_sensitivity,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_tissue_fast_kate_2024_t1_ffe_401,runtime_and_label_stats,status_elapsed_labels,done;22.974;1;2,status;seconds;labels,kate_2024_t1_ffe_401,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,quick_tissue_qc_candidate,tissue_level_contrast_sensitivity,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_tissue_fast_kate_2024_t1_ffe_601,runtime_and_label_stats,status_elapsed_labels,done;17.835;1;2,status;seconds;labels,kate_2024_t1_ffe_601,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,quick_tissue_qc_candidate,tissue_level_contrast_sensitivity,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_mindgrab_kate_2024_3di,runtime_and_label_stats,status_elapsed_labels,timeout;301.863;,status;seconds;labels,kate_2024_3di,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,not_promoted_runtime_timeout,runtime_feasibility_gate,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_mindgrab_kate_2024_t1_ffe_401,runtime_and_label_stats,status_elapsed_labels,timeout;300.586;,status;seconds;labels,kate_2024_t1_ffe_401,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,not_promoted_runtime_timeout,runtime_feasibility_gate,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_mindgrab_kate_2024_t1_ffe_601,runtime_and_label_stats,status_elapsed_labels,timeout;300.519;,status;seconds;labels,kate_2024_t1_ffe_601,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,not_promoted_runtime_timeout,runtime_feasibility_gate,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
brainchop_runtime_and_tissue_qc,BrainChop,brainchop_0.2.5_subcortical-mini_kate_2024_t1_ffe_401,runtime_and_label_stats,status_elapsed_labels,timeout;602.021;,status;seconds;labels,kate_2024_t1_ffe_401,data/kate_n1_2026/brainchop_0.2.5_smoke_results.csv,not_promoted_runtime_timeout,runtime_feasibility_gate,tissue_fast has only tissue labels and is not an anatomical ASEG/DKT segmentation.
