branch,scope,status,main_output,current_result,next_action,compute_needed
"BrainIAC brain-age application branch","Kate T1-like inputs and SIMON FastSurfer orig.mgz derivatives","done_exploratory_invalid_for_age_claim","data\kate_n1_2026\brainiac_brainage_predictions_kate.csv; data\kate_n1_2026\brainiac_brainage_predictions_simon_fastsurfer_orig.csv; docs\kate_n1_2026\brainiac_brainage_application_report.md","Local BrainIAC Brain Age Space checkpoint ran on 10 Kate inputs and 94 SIMON FastSurfer orig.mgz derivatives with no volume outputs. App-style raw/12 interpretation gives implausible adult ages and strong protocol sensitivity, so this is an OOD/preprocessing-sensitivity result, not a valid adult brain-age estimate.","Use only as QC/robustness evidence. Do not cite as Kate biological age. For a real age claim, use an adult-calibrated model with documented units/preprocessing and validate on SIMON chronological ages first.","no for exploratory branch"
"Brain-age multi-model search","Kate n=1 and SIMON age-head/model inventory","done_search_ready_for_smoke","data\kate_n1_2026\brain_age_model_inventory.csv; docs\kate_n1_2026\brain_age_model_search_report.md","Found multiple explicit brain-age head/regressor candidates. BrainFM public checkpoint has no located age-head weights, so it remains feature-only. BrainIAC age branch is already run but invalid for an adult age claim. Highest-priority next candidates are local MIDIBrainAge T1 ensemble, BrainAgeNeXt HF ensemble, SynthBA, Westman brainage-prediction-mri, and SFCN with age-bin limitations.","Run isolated smoke tests on 1 Kate plus a small SIMON subset. Promote no Kate age estimate until units and preprocessing pass SIMON sanity checks.","yes"
"MIDIBrainAge T1 smoke","Kate 2018 raw T1 plus first three SIMON FastSurfer orig.mgz derivatives","smoke_done_not_age_claim","data\kate_n1_2026\midi_brainage_smoke_results.csv; data\kate_n1_2026\midi_brainage_simon3_smoke_results.csv; docs\kate_n1_2026\midi_brainage_smoke_report.md","Isolated WSL venv and /home working copy ran Kate 2018 T1 through HD-BET, ANTs, and the MIDIBrainAge T1 ensemble; output was 29.8 years. SIMON-3 outputs were plausible adult-year units (33.20-37.24 years; MAE 4.45, bias +4.45), but n=3 is too small for validation.","Run broader SIMON calibration and add BrainAgeNeXt or SynthBA before any Kate age interpretation or averaging.","yes"
"MIDIBrainAge SRPBS Traveling Subjects scale gate","SRPBS_TS FastSurfer orig.mgz derivatives, siteATTd1 across 9 subjects","scale_gate_done_labeled_sanity_not_validation","data\kate_n1_2026\midi_brainage_srpbs_travelling_fastsurfer_orig_siteATTd1_predictions.csv; data\kate_n1_2026\midi_brainage_srpbs_travelling_fastsurfer_orig_siteATTd1_summary.csv; data\kate_n1_2026\srpbs_travelling_participants.tsv; docs\kate_n1_2026\midi_brainage_srpbs_travelling_scale_gate_report.md","MIDIBrainAge T1 ensemble completed 9/9 SRPBS siteATTd1 FastSurfer-orig cases after fixing venv PATH for hd-bet. Against extracted participant ages 24-32, MAE was 1.74 years, bias +1.53 years, RMSE 2.15, Pearson r 0.85; mean CPU runtime 584.53 seconds/case. This is a small labeled sanity check, not a validation claim because n=9, one site, and narrow age range.","Run full 143-case SRPBS FastSurfer-orig matrix only as a long CPU batch or on faster hardware; analyze within-subject across-site spread. For no-preprocessing branch, extract raw T1w from SRPBS_TS.tar.gz and run paired raw-vs-derivative gate.","yes for full matrix"
"MIDIBrainAge SIMON stratified-12 FastSurfer-orig gate","SIMON FastSurfer orig.mgz derivatives stratified across sessions 001-073","done_labeled_sanity_failed_for_kate_claim","data\kate_n1_2026\midi_brainage_simon_stratified12_predictions.csv; data\kate_n1_2026\midi_brainage_simon_stratified12_summary.csv; docs\kate_n1_2026\midi_brainage_simon_stratified12_report.md","MIDIBrainAge T1 ensemble completed 12/12 SIMON FastSurfer-orig cases. Against chronological ages 29.69-46.41, MAE was 8.99 years, bias -7.66 years, RMSE 10.37, Pearson r -0.43, and predicted-vs-chronological slope -0.35. This branch uses existing FastSurfer orig.mgz derivatives, not raw SIMON, and does not support Kate age reporting.","Do not run/report Kate age from the FastSurfer-orig SIMON branch. Next test MIDIBrainAge on raw/documented T1 inputs where available and add BrainAgeNeXt/SynthBA comparators; keep SRPBS site branch as separate robustness evidence.","yes for comparator/raw branch"
"MIDIBrainAge SIMON all-orig FastSurfer-orig characterization","All 94 visible SIMON FastSurfer orig.mgz derivatives, including repeated/acquisition variants","done_branch_characterization_not_kate_claim","data\kate_n1_2026\midi_brainage_simon_all_orig_predictions.csv; data\kate_n1_2026\midi_brainage_simon_all_orig_summary.csv; data\kate_n1_2026\midi_brainage_simon_all_orig_session_summary.csv; docs\kate_n1_2026\midi_brainage_simon_all_orig_report.md","MIDIBrainAge T1 ensemble completed 94/94 all-visible SIMON FastSurfer-orig inputs. Against chronological ages 29.69-46.41, MAE was 9.11 years, bias -8.58 years, RMSE 9.96, Pearson r -0.03, and predicted-vs-chronological slope -0.04. This confirms the derivative branch is not suitable for Kate-age reporting; repeated/acquisition variants are QC evidence, not independent subjects.","Keep as preprocessing/domain-branch failure evidence. Next use NeuroFM/BrainFM branch requested by user as feature/QC unless an official age head is available, and add independent age-head comparators for true brain-age estimates.","yes for NeuroFM/comparators"
"Pseudo-GT volume v0","2018/2022 primary T1 and 2024 T1-like SynthSeg/TIGERBx overlapping ASEG volumes","done_volume_first_pass","reprocessed_2026\pseudo_gt\volume_v0; data\kate_n1_2026\pseudo_gt_volume_source_summary.csv","Computed trusted source median, method-balanced median, leave-one-source-out, and leave-one-method-out pseudo-GT volume references. 2024 3DI shows large/severe disagreement versus FFE-derived pseudo-GT; TIGERBx 2024 FFE 401 is the closest current 2024 volume match.","Use volume_v0 for QC triage only. Next stage requires registered label maps in subject-template space before Dice/HD95/surface metrics or visualization promotion.","no for volume stage"
"Pseudo-GT spatial header-affine v0","2024 T1-like SynthSeg/TIGERBx label maps","done_spatial_pilot","reprocessed_2026\pseudo_gt\spatial_header_affine_v0; data\kate_n1_2026\pseudo_gt_spatial_header_affine_source_summary.csv","Header-affine hard-vote pseudo-GT computed from 2024 FFE sources. SynthSeg 2024 3DI median Dice 0.816 and TIGERBx 2024 3DI median Dice 0.764 versus trusted hard-vote pseudo-GT; FFE sources show stronger agreement, especially SynthSeg FFE.","Use only as a QC pilot because no deformable/template registration was used. Next stage: subject-template registration plus Dice/HD95/ASSD/surface Dice and uncertainty maps.","no for pilot"
"Pseudo-GT spatial registered v1","2024 T1-like SynthSeg/TIGERBx image+label pairs","done_registered_spatial","reprocessed_2026\pseudo_gt\spatial_registered_v1; data\kate_n1_2026\pseudo_gt_spatial_registered_source_summary.csv","Affine SimpleITK registration to 2024 T1 FFE 401 subject space completed. Against trusted registered hard-vote pseudo-GT, SynthSeg 2024 3DI median Dice 0.831, TIGERBx 2024 3DI median Dice 0.775; 3DI p90 HD95 remains high (22-25 mm), so 3DI is not promoted.","Use as current strongest spatial pseudo-GT accuracy stage. Next optional stage is nonlinear/unbiased subject-template registration before stronger claims.","no for affine stage"
"Visual QC overlays 2024","TIGERBx native tbetmask/ASEG/DGM and registered SynthSeg/TIGERBx source-vs-consensus overlays","done_first_pass","reprocessed_2026\qc_overlays\kate_n1_2026; data\kate_n1_2026\visual_qc_overlay_manifest.csv; docs\kate_n1_2026\visual_qc_overlays_2024_report.md","Generated 15 QC overlays: 9 native TIGERBx overlays and 6 registered pseudo-GT overlays. Visual QC supports the metric conclusion: 2024 3DI should not be promoted; FFE-derived registered consensus/SynthSeg sources are the current best visualization candidates.","Export only QC-safe small summaries/thumbnail references to your-brain-mri-visualization; keep raw images and label maps outside git.","no"
"BrainChop 0.2.5 CLI","Kate 2024 T1-like candidates: 3DI, FFE 401, FFE 601","tissue_fast_done_heavy_models_timeout","reprocessed_2026\brainchop\brainchop_0.2.5; data\kate_n1_2026\brainchop_0.2.5_smoke_results.csv; docs\kate_n1_2026\brainchop_application_report.md","brainchop==0.2.5 installed in WSL venv and model list verified. tissue_fast completed on 2024 3DI, FFE 401, and FFE 601 in 17.835-31.912 s with two tissue labels. mindgrab timed out at 5 minutes per scan. subcortical-mini timed out at 10 minutes on FFE 401; prior 0.2.4 subcortical smoke also exceeded 15 minutes.","Use tissue_fast only as a quick tissue-QC/uncertainty branch. Do not include BrainChop in anatomical pseudo-GT or visualization until an anatomical model completes, ontology is mapped, and visual/registered QC passes. Next route for heavier BrainChop models is GPU/WebGPU/Docker, not local CPU.","yes"
"TTA/uncertainty evidence ledger v0","SynthSeg TTA, FastSurfer rotation, registered pseudo-GT, BrainChop smoke evidence","done_ledger_v0_schema_added","data\kate_n1_2026\tta_uncertainty_method_evidence.csv; docs\kate_n1_2026\tta_uncertainty_robust_pipeline_v0.md; docs\kate_n1_2026\tta_execution_schema_v0.md","Built a compact evidence ledger from existing verified summaries and added the executable TTA label-ensemble schema. Current robust-pipeline position: use SynthSeg TTA for volume stability, FFE-derived registered consensus/SynthSeg FFE for 2024 anatomy, BrainChop tissue_fast as tissue-QC only, and registered source-consensus disagreement as uncertainty.","Apply the new evaluator to real inverse-resampled SynthSeg and comparator TTA labels on Kate and test-retest datasets before claiming a general robust pipeline.","yes"
"TTA label ensemble evaluator v0","Common-space inverse-resampled TTA labels from any method","done_synthseg_and_fastsurfer_long_comparator","experiments\kate_n1_2026\evaluate_tta_label_ensemble.py; experiments\kate_n1_2026\tta_label_ensemble_inputs.schema.csv; experiments\kate_n1_2026\synthseg_2018_rotation_tta_label_ensemble_inputs.csv; experiments\kate_n1_2026\fastsurfer_long_2018_rotation_pair_label_ensemble_inputs.csv; data\kate_n1_2026\synthseg_2018_rotation_tta_label_summary.csv; data\kate_n1_2026\fastsurfer_long_2018_rotation_pair_label_summary.csv; docs\kate_n1_2026\synthseg_2018_rotation_tta_label_ensemble_report.md; docs\kate_n1_2026\fastsurfer_long_2018_rotation_pair_label_ensemble_report.md","Added a reusable evaluator for per-label voxel/volume CV, hard-vote consensus, foreground vote fraction, and entropy. Self-test passed, SynthSeg 2018 9-angle rotation ensemble was populated, and FastSurfer Long v2 2018 +/-3 degree DKT+ASEG comparator was populated. SynthSeg mean foreground vote fraction was 0.694545 and entropy 0.906881 bits; FastSurfer Long comparator mean foreground vote fraction was 0.992128 and entropy 0.015744 bits. This measures perturbation stability and uncertainty, not anatomical ground truth.","Apply the same schema to test-retest datasets; join TTA uncertainty with registered pseudo-GT and repeatability metrics.","no for existing Kate rotation ensembles; yes for test-retest runs"
"SIMON segmentation test-retest scaffold","SIMON consecutive-session FreeSurfer8 derivative label maps","manifest_built_secondary_derivative_evidence","experiments\kate_n1_2026\build_simon_segmentation_test_retest_manifest.py; data\kate_n1_2026\simon_freesurfer8_segmentation_sessions.csv; data\kate_n1_2026\simon_freesurfer8_segmentation_pairs.csv; data\kate_n1_2026\simon_segmentation_test_retest_status.csv; docs\kate_n1_2026\simon_segmentation_test_retest_manifest_report.md","Built a derivative-level SIMON repeatability scaffold from local FreeSurfer8 outputs. 69/73 phenotype sessions have DKT+ASEG labels and 66/72 consecutive pairs are usable. This supports pairwise metric development but does not prove raw-input SOTA robustness.","Locate or generate raw/harmonized SIMON inputs for SynthSeg and at least one comparator, then connect TTA uncertainty to pairwise repeatability error.","yes for raw/multi-method benchmark"
"SIAM / Segment It All Model","Kate heterogeneous T1-like scans and future test-retest datasets; whole-head/tissue segmentation comparator","candidate_recorded_not_run","experiments\kate_n1_2026\sota_segmenter_sources.json; docs\kate_n1_2026\siam_benchmark_candidate_note.md","Recorded SIAM and the siamize C++/ONNX port as an emerging contrast-robust whole-head/tissue benchmark candidate. It may be useful for 2024 3DI-vs-FFE tissue/head QC and uncertainty, but it is not a direct FreeSurfer DKT/ASEG replacement and has not been locally validated.","Add a guarded siamize/SIAM smoke wrapper, prefer one 2024 FFE candidate first, check RAM/GPU feasibility, map label ontology, then feed inverse-resampled labels into the TTA evaluator and registered pseudo-GT comparison.","yes"
"SIMON FastSurfer orig internal-source input benchmark","SIMON local *_orig.mgz inputs from D:\data\fastserfer_simon","manifest_built_internal_source_input","experiments\kate_n1_2026\build_simon_orig_segmentation_inputs.py; data\kate_n1_2026\simon_fastsurfer_orig_segmentation_inputs.csv; data\kate_n1_2026\simon_fastsurfer_orig_segmentation_run1_pairs.csv; data\kate_n1_2026\simon_orig_input_benchmark_status.csv; docs\kate_n1_2026\simon_orig_input_benchmark_note.md","Built a standardized-input manifest for 94 local FastSurfer `_orig.mgz` internal source images across 73 SIMON sessions, including 88 filename-marked T1w inputs and 56 consecutive run-1 pairs. This is not a segmentation-derivative benchmark; it is an available source-image benchmark, distinct from untouched scanner-native DICOM/NIfTI evidence.","Run SynthSeg, BrainChop-compatible, and SIAM-compatible wrappers on a small run-1 subset first; promote only after visual QC and registered spatial comparisons.","yes for segmenter runs"
